"Name","AppID","Location","LastUpdated","Library","AppManifest","CommonPath","GB","Status","ProtonDB"
"Space Crew Demo","1324200","DESKTOP-MV5OU5R","6/28/2020 5:14:18 PM","D:\Steam\steamapps","D:\Steam\steamapps\appmanifest_1324200.acf","D:\Steam\steamapps\common\Space Crew Demo","0.5","OK",
"AirMech Strike","206500","DESKTOP-MV5OU5R","6/28/2020 10:48:44 PM","D:\Steam\steamapps","D:\Steam\steamapps\appmanifest_206500.acf","D:\Steam\steamapps\common\AirMech","0.77","OK","Borked"
"Warframe","230410","DESKTOP-MV5OU5R","6/27/2020 6:59:28 PM","D:\Steam\steamapps","D:\Steam\steamapps\appmanifest_230410.acf","D:\Steam\steamapps\common\Warframe","40.61","OK","Gold"
"Oxygen Not Included","457140","DESKTOP-MV5OU5R","6/27/2020 7:01:10 PM","D:\Steam\steamapps","D:\Steam\steamapps\appmanifest_457140.acf","D:\Steam\steamapps\common\OxygenNotIncluded","1.62","OK",
"AirMech Wastelands","595770","DESKTOP-MV5OU5R","6/28/2020 11:03:53 PM","D:\Steam\steamapps","D:\Steam\steamapps\appmanifest_595770.acf","D:\Steam\steamapps\common\AirMech Wastelands","0.92","OK","Borked"
"Good Company","911430","Local MicroSDXC","7/15/2022 2:55:42 AM","H:\steamapps","H:\steamapps\appmanifest_911430.acf","H:\steamapps\common\Good Company","1.11","OK",
"Settlement Survival","1509510","Local MicroSDXC","7/15/2022 7:58:00 PM","H:\steamapps","H:\steamapps\appmanifest_1509510.acf","H:\steamapps\common\Settlement Survival","0.87","OK",
"The Settlers 7 : History Edition","965320","Local MicroSDXC","10/2/2021 12:06:49 AM","H:\steamapps","H:\steamapps\appmanifest_965320.acf","H:\steamapps\common\The Settlers 7 - History Edition","5.93","OK","Borked"
"Kingdoms and Castles","569480","Local MicroSDXC","7/18/2022 8:19:13 PM","H:\steamapps","H:\steamapps\appmanifest_569480.acf","H:\steamapps\common\Kingdoms and Castles","0.78","OK",
"Foundation","690830","Local MicroSDXC","2/22/2022 7:37:26 AM","H:\steamapps","H:\steamapps\appmanifest_690830.acf","H:\steamapps\common\Foundation","3.02","OK","Borked"
"Warhammer 40,000: Inquisitor - Prophecy","1042800","Local MicroSDXC","7/7/2022 4:30:14 PM","H:\steamapps","H:\steamapps\appmanifest_1042800.acf","H:\steamapps\common\Warhammer 40,000 Inquisitor - Martyr","77.04","OK","Platinum"
"Frostpunk","323190","Local MicroSDXC","7/15/2022 2:49:31 PM","H:\steamapps","H:\steamapps\appmanifest_323190.acf","H:\steamapps\common\Frostpunk","8.97","OK","Platinum"
"Warhammer 40,000: Inquisitor - Martyr","527430","Local MicroSDXC","7/15/2022 7:57:28 PM","H:\steamapps","H:\steamapps\appmanifest_527430.acf","H:\steamapps\common\Warhammer 40,000 Inquisitor - Martyr","77.04","OK","Borked"
"Lego Harry Potter","21130","DESKTOP-MV5OU5R","7/6/2017 12:11:17 PM","E:\Program Files (x86)\Steam\steamapps","E:\Program Files (x86)\Steam\steamapps\appmanifest_21130.acf","E:\Program Files (x86)\Steam\steamapps\common\LEGO Harry Potter","5.9","OK","Platinum"
"Steamworks Common Redistributables","228980","DESKTOP-MV5OU5R","4/4/2020 6:59:21 PM","E:\Program Files (x86)\Steam\steamapps","E:\Program Files (x86)\Steam\steamapps\appmanifest_228980.acf","E:\Program Files (x86)\Steam\steamapps\common\Steamworks Shared","0.18","OK",
"Cities: Skylines","255710","DESKTOP-MV5OU5R","8/12/2022 5:17:25 PM","E:\Program Files (x86)\Steam\steamapps","E:\Program Files (x86)\Steam\steamapps\appmanifest_255710.acf","E:\Program Files (x86)\Steam\steamapps\common\Cities_Skylines","11.71","OK","Platinum"
"No Man's Sky","275850","DESKTOP-MV5OU5R","8/13/2022 8:03:53 PM","E:\Program Files (x86)\Steam\steamapps","E:\Program Files (x86)\Steam\steamapps\appmanifest_275850.acf","E:\Program Files (x86)\Steam\steamapps\common\No Man's Sky","12.45","OK","Platinum"
"LEGO? STAR WARS?: The Force Awakens","438640","DESKTOP-MV5OU5R","4/18/2020 5:04:42 PM","E:\Program Files (x86)\Steam\steamapps","E:\Program Files (x86)\Steam\steamapps\appmanifest_438640.acf","E:\Program Files (x86)\Steam\steamapps\common\LEGO STAR WARS The Force Awakens","16.08","OK","Platinum"
"Avorion","445220","DESKTOP-MV5OU5R","8/12/2022 5:13:23 PM","E:\Program Files (x86)\Steam\steamapps","E:\Program Files (x86)\Steam\steamapps\appmanifest_445220.acf","E:\Program Files (x86)\Steam\steamapps\common\Avorion","0.87","OK",
"Risk of Rain 2","632360","DESKTOP-MV5OU5R","8/13/2022 11:23:07 AM","E:\Program Files (x86)\Steam\steamapps","E:\Program Files (x86)\Steam\steamapps\appmanifest_632360.acf","E:\Program Files (x86)\Steam\steamapps\common\Risk of Rain 2","2.09","OK","Platinum"
"Torchlight III","1030210","DESKTOP-MV5OU5R","6/7/2022 3:55:50 PM","F:\SteamLibrary\steamapps","F:\SteamLibrary\steamapps\appmanifest_1030210.acf","F:\SteamLibrary\steamapps\common\Torchlight III","6.11","OK",
"Warhammer 40,000: Inquisitor - Prophecy","1042800","DESKTOP-MV5OU5R","7/7/2022 4:30:14 PM","F:\SteamLibrary\steamapps","F:\SteamLibrary\steamapps\appmanifest_1042800.acf","F:\SteamLibrary\steamapps\common\Warhammer 40,000 Inquisitor - Martyr","77.11","OK","Platinum"
"Starmancer","1062000","DESKTOP-MV5OU5R","5/18/2022 5:18:05 AM","F:\SteamLibrary\steamapps","F:\SteamLibrary\steamapps\appmanifest_1062000.acf","F:\SteamLibrary\steamapps\common\Starmancer","0.35","OK",
"HighFleet","1434950","DESKTOP-MV5OU5R","2/28/2022 3:26:07 AM","F:\SteamLibrary\steamapps","F:\SteamLibrary\steamapps\appmanifest_1434950.acf","F:\SteamLibrary\steamapps\common\HighFleet","1.47","OK",
"20 Minutes Till Dawn","1966900","DESKTOP-MV5OU5R","8/16/2022 3:47:43 AM","F:\SteamLibrary\steamapps","F:\SteamLibrary\steamapps\appmanifest_1966900.acf","F:\SteamLibrary\steamapps\common\20MinuteTillDawn","0.11","OK",
"Sins of a Solar Empire: Rebellion","204880","DESKTOP-MV5OU5R","8/12/2022 1:05:40 AM","F:\SteamLibrary\steamapps","F:\SteamLibrary\steamapps\appmanifest_204880.acf","F:\SteamLibrary\steamapps\common\Sins of a Solar Empire Rebellion","4.08","OK","Platinum"
"AirMech Strike","206500","DESKTOP-MV5OU5R","7/1/2020 1:58:40 AM","F:\SteamLibrary\steamapps","F:\SteamLibrary\steamapps\appmanifest_206500.acf","F:\SteamLibrary\steamapps\common\AirMech","0.77","OK","Borked"
"FTL: Faster Than Light","212680","DESKTOP-MV5OU5R","7/15/2022 3:39:25 PM","F:\SteamLibrary\steamapps","F:\SteamLibrary\steamapps\appmanifest_212680.acf","F:\SteamLibrary\steamapps\common\FTL Faster Than Light","0.27","OK","Platinum"
"Grim Dawn","219990","DESKTOP-MV5OU5R","6/27/2022 4:48:18 PM","F:\SteamLibrary\steamapps","F:\SteamLibrary\steamapps\appmanifest_219990.acf","F:\SteamLibrary\steamapps\common\Grim Dawn","6.31","OK","Platinum"
"Steamworks Common Redistributables","228980","DESKTOP-MV5OU5R","7/25/2020 12:01:27 AM","F:\SteamLibrary\steamapps","F:\SteamLibrary\steamapps\appmanifest_228980.acf","F:\SteamLibrary\steamapps\common\Steamworks Shared","0.21","OK",
"Path of Exile","238960","DESKTOP-MV5OU5R","8/13/2022 7:16:47 PM","F:\SteamLibrary\steamapps","F:\SteamLibrary\steamapps\appmanifest_238960.acf","F:\SteamLibrary\steamapps\common\Path of Exile","29.83","OK","Platinum"
"Mount & Blade II: Bannerlord","261550","DESKTOP-MV5OU5R","8/13/2022 8:54:37 PM","F:\SteamLibrary\steamapps","F:\SteamLibrary\steamapps\appmanifest_261550.acf","F:\SteamLibrary\steamapps\common\Mount & Blade II Bannerlord","42.96","OK","Borked"
"Satellite Reign","268870","DESKTOP-MV5OU5R","8/13/2022 6:53:11 PM","F:\SteamLibrary\steamapps","F:\SteamLibrary\steamapps\appmanifest_268870.acf","F:\SteamLibrary\steamapps\common\SatelliteReign","1.27","OK",
